,height,weight,age,gender,fitness_goal,activity,cooking_skill,nationality,user
32,181,110,22,Male,Build Muscle,Active,advanced,Cajun & Creole,32
33,136,80,60,Female,Build Muscle,LowActive,advanced,Moroccan,33
34,157,40,35,Male,Lose Weight,Sedentary,basic,Asian,34
35,148,75,59,Female,Build Muscle,Sedentary,intermediate,American,35
36,124,60,21,Male,Build Muscle,Active,basic,Asian,36
37,136,65,43,Male,Keep Fit,Active,intermediate,Italian,37
38,148,80,45,Male,Keep Fit,LowActive,basic,English,38
39,160,65,25,Male,Keep Fit,Active,advanced,Greek,39
40,139,105,40,Female,Build Muscle,Active,advanced,Hungarian,40
41,121,105,35,Female,Lose Weight,Active,advanced,Italian,41
42,181,110,52,Female,Lose Weight,Sedentary,advanced,English,42
43,130,65,31,Male,Build Muscle,Sedentary,intermediate,Japanese,43
44,124,95,43,Male,Keep Fit,Active,advanced,Italian,44
45,190,65,52,Female,Build Muscle,LowActive,advanced,German,45
46,169,110,37,Male,Lose Weight,LowActive,basic,Italian,46
47,145,110,54,Female,Build Muscle,HighActive,basic,Swedish,47
48,145,40,34,Female,Lose Weight,Active,basic,Cajun & Creole,48
49,124,45,46,Male,Lose Weight,Sedentary,intermediate,German,49
50,190,55,56,Female,Lose Weight,LowActive,intermediate,Hungarian,50
51,172,60,43,Female,Build Muscle,HighActive,basic,Irish,51
52,124,50,28,Female,Build Muscle,LowActive,advanced,Spanish,52
53,133,110,37,Male,Lose Weight,Sedentary,advanced,Italian,53
54,148,100,23,Male,Build Muscle,LowActive,basic,Southern & Soul Food,54
55,175,85,59,Female,Keep Fit,HighActive,advanced,Spanish,55
56,139,55,44,Male,Build Muscle,Active,advanced,Southwestern,56
57,145,80,46,Male,Build Muscle,HighActive,basic,Southwestern,57
58,142,90,36,Female,Lose Weight,Sedentary,intermediate,Greek,58
59,172,50,24,Male,Keep Fit,HighActive,basic,Japanese,59
60,187,95,55,Female,Build Muscle,HighActive,basic,Indian,60
61,142,45,41,Female,Keep Fit,LowActive,advanced,French,61
62,142,45,48,Male,Lose Weight,Sedentary,basic,Thai,62
63,184,70,30,Female,Lose Weight,Sedentary,basic,Moroccan,63
64,142,55,37,Female,Keep Fit,HighActive,intermediate,Spanish,64
65,130,65,36,Female,Build Muscle,LowActive,advanced,Southern & Soul Food,65
66,190,95,47,Female,Keep Fit,Active,intermediate,French,66
67,181,75,41,Male,Build Muscle,HighActive,intermediate,Asian,67
68,178,110,32,Female,Lose Weight,HighActive,basic,Italian,68
69,160,45,43,Female,Build Muscle,Active,intermediate,Southwestern,69
70,121,65,27,Male,Lose Weight,LowActive,basic,Swedish,70
71,130,65,41,Female,Build Muscle,HighActive,basic,Southern & Soul Food,71
72,178,60,47,Female,Lose Weight,Active,advanced,Asian,72
73,151,80,51,Female,Build Muscle,HighActive,basic,Indian,73
74,130,85,29,Female,Keep Fit,Active,intermediate,Swedish,74
75,121,90,39,Male,Lose Weight,HighActive,intermediate,Japanese,75
76,136,80,24,Female,Build Muscle,Active,basic,Mediterranean,76
77,190,50,40,Male,Lose Weight,LowActive,basic,Cajun & Creole,77
78,160,80,25,Male,Keep Fit,Active,basic,Cajun & Creole,78
79,166,110,34,Male,Keep Fit,LowActive,basic,Irish,79
80,151,105,31,Female,Build Muscle,Active,advanced,Cajun & Creole,80
81,145,80,52,Female,Build Muscle,Sedentary,intermediate,Italian,81
82,136,50,39,Female,Lose Weight,Sedentary,basic,Swedish,82
83,124,60,23,Male,Keep Fit,HighActive,advanced,Japanese,83
84,151,60,49,Female,Build Muscle,HighActive,intermediate,Spanish,84
85,190,75,43,Male,Build Muscle,Sedentary,advanced,German,85
86,157,40,47,Female,Keep Fit,LowActive,basic,French,86
87,166,100,26,Female,Keep Fit,HighActive,intermediate,Indian,87
88,166,75,32,Male,Keep Fit,Active,advanced,Asian,88
89,124,55,46,Male,Build Muscle,LowActive,intermediate,Cuban,89
90,133,50,60,Male,Keep Fit,Sedentary,intermediate,Southwestern,90
91,139,90,57,Female,Lose Weight,Active,basic,Mediterranean,91
92,145,110,23,Female,Lose Weight,Sedentary,basic,Cuban,92
93,142,60,24,Male,Lose Weight,Active,intermediate,Japanese,93
94,184,95,60,Male,Lose Weight,HighActive,advanced,American,94
95,163,65,54,Female,Build Muscle,LowActive,advanced,Southwestern,95
96,142,105,55,Male,Build Muscle,HighActive,basic,Greek,96
97,130,55,22,Female,Build Muscle,Sedentary,basic,Irish,97
98,136,40,20,Female,Keep Fit,HighActive,advanced,Chinese,98
99,127,50,57,Male,Build Muscle,Sedentary,basic,Mexican,99
100,178,110,42,Male,Keep Fit,HighActive,intermediate,Japanese,100
101,175,75,21,Male,Build Muscle,HighActive,basic,Chinese,101
102,166,105,43,Female,Keep Fit,Sedentary,advanced,Cajun & Creole,102
103,151,40,54,Female,Lose Weight,LowActive,advanced,Moroccan,103
104,178,110,21,Female,Keep Fit,Sedentary,advanced,Southern & Soul Food,104
105,187,105,25,Female,Lose Weight,Sedentary,advanced,Moroccan,105
106,169,85,44,Female,Lose Weight,Active,basic,American,106
107,139,40,25,Male,Lose Weight,LowActive,intermediate,Cajun & Creole,107
108,133,85,32,Female,Lose Weight,Active,basic,Irish,108
109,157,65,20,Female,Lose Weight,Sedentary,basic,Mediterranean,109
110,169,75,28,Male,Lose Weight,Active,basic,Hungarian,110
111,175,80,42,Female,Build Muscle,HighActive,advanced,Moroccan,111
112,172,55,55,Female,Build Muscle,LowActive,advanced,French,112
113,148,50,23,Female,Build Muscle,HighActive,basic,Swedish,113
114,172,105,24,Female,Keep Fit,Sedentary,advanced,Indian,114
115,142,50,43,Male,Build Muscle,HighActive,advanced,Moroccan,115
116,139,75,28,Female,Lose Weight,HighActive,basic,American,116
117,184,70,33,Female,Keep Fit,LowActive,intermediate,Thai,117
118,172,90,28,Male,Keep Fit,Sedentary,intermediate,Greek,118
119,136,70,58,Female,Lose Weight,LowActive,basic,French,119
120,148,40,48,Female,Lose Weight,Active,intermediate,Southwestern,120
121,124,105,34,Female,Build Muscle,Sedentary,intermediate,Southern & Soul Food,121
122,190,50,42,Male,Keep Fit,LowActive,intermediate,French,122
123,130,65,24,Female,Build Muscle,Active,basic,Southern & Soul Food,123
124,187,75,23,Female,Build Muscle,LowActive,advanced,American,124
125,133,60,23,Female,Build Muscle,Active,basic,Cajun & Creole,125
126,127,80,33,Female,Lose Weight,Active,intermediate,Spanish,126
127,136,60,27,Female,Build Muscle,LowActive,intermediate,Cajun & Creole,127
128,187,55,20,Female,Build Muscle,Sedentary,basic,Chinese,128
129,181,55,47,Female,Lose Weight,Sedentary,intermediate,Cajun & Creole,129
130,172,45,28,Female,Build Muscle,LowActive,intermediate,American,130
131,175,95,34,Male,Build Muscle,Sedentary,advanced,Cuban,131
132,181,55,27,Female,Keep Fit,HighActive,advanced,Cuban,132
133,187,65,23,Male,Build Muscle,HighActive,basic,Swedish,133
134,187,100,49,Male,Lose Weight,HighActive,advanced,Mexican,134
135,175,110,37,Female,Lose Weight,Active,intermediate,Spanish,135
136,163,90,50,Female,Lose Weight,Sedentary,intermediate,German,136
137,169,70,51,Female,Keep Fit,Sedentary,advanced,Indian,137
138,142,90,58,Male,Lose Weight,LowActive,basic,Asian,138
139,163,45,48,Female,Build Muscle,Active,intermediate,American,139
140,166,70,48,Female,Build Muscle,Active,intermediate,Swedish,140
141,154,65,40,Female,Keep Fit,Active,advanced,Greek,141
142,136,75,54,Male,Keep Fit,Sedentary,intermediate,Cajun & Creole,142
143,148,70,28,Male,Lose Weight,HighActive,advanced,French,143
144,154,55,39,Female,Lose Weight,Active,basic,Moroccan,144
145,166,65,39,Male,Lose Weight,HighActive,advanced,Moroccan,145
146,154,70,39,Male,Build Muscle,LowActive,intermediate,Hungarian,146
147,139,60,47,Male,Lose Weight,HighActive,basic,Indian,147
148,142,40,20,Male,Lose Weight,HighActive,intermediate,Southern & Soul Food,148
149,142,105,20,Female,Lose Weight,Active,advanced,English,149
150,187,100,27,Male,Build Muscle,HighActive,advanced,German,150
151,172,40,54,Female,Lose Weight,Active,intermediate,Italian,151
152,133,85,60,Male,Keep Fit,LowActive,advanced,Southern & Soul Food,152
153,148,70,24,Female,Keep Fit,LowActive,intermediate,Greek,153
154,163,75,41,Female,Lose Weight,Active,advanced,Mediterranean,154
155,142,50,44,Male,Build Muscle,HighActive,advanced,Hungarian,155
156,178,80,38,Female,Keep Fit,HighActive,basic,Greek,156
157,178,110,53,Female,Lose Weight,Active,basic,Chinese,157
158,160,55,38,Female,Keep Fit,LowActive,advanced,German,158
159,172,80,40,Male,Build Muscle,Sedentary,basic,Moroccan,159
160,139,45,35,Male,Keep Fit,Active,intermediate,American,160
161,160,50,36,Female,Lose Weight,Active,basic,Southern & Soul Food,161
162,190,80,24,Male,Build Muscle,Active,basic,French,162
163,127,85,29,Male,Build Muscle,Active,advanced,Hungarian,163
164,163,100,49,Male,Keep Fit,Sedentary,advanced,Southern & Soul Food,164
165,163,50,31,Male,Keep Fit,LowActive,intermediate,Asian,165
166,154,105,56,Male,Keep Fit,LowActive,basic,Spanish,166
167,133,80,32,Male,Build Muscle,LowActive,intermediate,Hungarian,167
168,160,85,32,Female,Build Muscle,Active,advanced,Mediterranean,168
169,148,55,43,Female,Lose Weight,Active,intermediate,Mediterranean,169
170,184,80,60,Female,Build Muscle,LowActive,basic,American,170
171,154,95,43,Male,Build Muscle,Active,basic,French,171
172,166,45,22,Female,Build Muscle,Sedentary,basic,Mexican,172
173,181,50,46,Male,Keep Fit,Sedentary,intermediate,American,173
174,163,75,21,Male,Lose Weight,LowActive,intermediate,Southwestern,174
175,154,70,38,Male,Build Muscle,Sedentary,intermediate,Southern & Soul Food,175
176,187,70,29,Female,Keep Fit,Active,advanced,Cuban,176
177,127,60,42,Male,Keep Fit,Active,intermediate,Swedish,177
178,127,75,48,Male,Lose Weight,Sedentary,intermediate,Hungarian,178
179,169,40,56,Female,Keep Fit,HighActive,advanced,Southwestern,179
180,145,95,32,Male,Lose Weight,Active,advanced,Indian,180
181,130,80,35,Female,Keep Fit,Sedentary,basic,American,181
182,130,80,33,Male,Build Muscle,Active,intermediate,Southern & Soul Food,182
183,172,105,27,Male,Keep Fit,HighActive,intermediate,French,183
184,136,75,45,Female,Lose Weight,LowActive,advanced,Asian,184
185,157,80,45,Male,Lose Weight,Active,intermediate,Moroccan,185
186,133,50,50,Male,Keep Fit,Active,basic,Japanese,186
187,124,85,45,Male,Lose Weight,Active,advanced,Mediterranean,187
188,127,90,25,Female,Lose Weight,LowActive,basic,Chinese,188
189,163,65,56,Female,Keep Fit,Active,basic,Hungarian,189
190,160,85,57,Male,Keep Fit,LowActive,advanced,French,190
191,172,60,40,Male,Lose Weight,LowActive,advanced,Japanese,191
192,121,60,48,Female,Build Muscle,Sedentary,intermediate,Spanish,192
193,169,60,44,Male,Lose Weight,Sedentary,intermediate,Irish,193
194,178,100,25,Female,Lose Weight,Active,intermediate,Southern & Soul Food,194
195,166,90,39,Male,Lose Weight,HighActive,advanced,Thai,195
196,178,40,33,Female,Keep Fit,Active,intermediate,Hungarian,196
197,151,105,28,Female,Build Muscle,HighActive,intermediate,Hungarian,197
198,169,45,26,Female,Lose Weight,Sedentary,intermediate,Moroccan,198
199,190,110,24,Male,Lose Weight,Sedentary,intermediate,Mediterranean,199
200,130,75,58,Female,Build Muscle,Sedentary,basic,French,200
201,121,65,28,Female,Lose Weight,Sedentary,advanced,French,201
202,142,100,46,Male,Keep Fit,Active,intermediate,German,202
203,169,100,50,Male,Lose Weight,HighActive,intermediate,Southern & Soul Food,203
204,148,85,43,Female,Lose Weight,HighActive,intermediate,Cajun & Creole,204
205,148,95,47,Male,Lose Weight,HighActive,intermediate,Swedish,205
206,190,70,55,Female,Keep Fit,Active,basic,Mediterranean,206
207,124,60,52,Female,Build Muscle,LowActive,advanced,Southwestern,207
208,127,105,52,Male,Lose Weight,LowActive,advanced,American,208
209,163,105,35,Male,Lose Weight,LowActive,basic,Chinese,209
210,181,85,56,Female,Build Muscle,HighActive,intermediate,Asian,210
211,124,55,38,Male,Keep Fit,Sedentary,basic,Greek,211
212,166,105,41,Male,Build Muscle,HighActive,intermediate,Cuban,212
213,172,60,25,Female,Build Muscle,Active,intermediate,English,213
214,157,65,31,Male,Keep Fit,Sedentary,basic,Japanese,214
215,190,95,20,Male,Keep Fit,Active,intermediate,American,215
216,130,75,48,Female,Keep Fit,LowActive,advanced,American,216
217,175,60,39,Female,Lose Weight,HighActive,intermediate,Asian,217
218,133,110,25,Male,Keep Fit,Active,intermediate,Greek,218
219,175,100,50,Female,Build Muscle,HighActive,advanced,German,219
220,178,75,48,Female,Lose Weight,LowActive,intermediate,Mexican,220
221,121,80,59,Female,Lose Weight,LowActive,intermediate,American,221
222,139,60,51,Female,Build Muscle,Active,basic,English,222
223,154,40,29,Male,Build Muscle,HighActive,intermediate,Moroccan,223
224,190,60,28,Male,Lose Weight,HighActive,intermediate,Thai,224
225,145,105,39,Male,Build Muscle,HighActive,advanced,Irish,225
226,163,105,43,Female,Keep Fit,Active,basic,Chinese,226
227,187,110,39,Male,Build Muscle,HighActive,advanced,Indian,227
228,175,40,59,Male,Lose Weight,Active,intermediate,Indian,228
229,166,70,34,Female,Keep Fit,Active,basic,Cuban,229
230,175,45,38,Female,Lose Weight,Sedentary,intermediate,Mexican,230
231,169,85,29,Female,Build Muscle,Sedentary,basic,Chinese,231
232,133,95,44,Male,Build Muscle,HighActive,basic,Southwestern,232
233,154,70,34,Female,Lose Weight,LowActive,advanced,Spanish,233
234,124,40,47,Female,Lose Weight,Active,basic,Spanish,234
235,187,65,35,Female,Keep Fit,Active,basic,French,235
236,154,40,30,Male,Build Muscle,HighActive,intermediate,Cajun & Creole,236
237,148,50,22,Female,Lose Weight,Active,basic,Mediterranean,237
238,172,105,33,Male,Keep Fit,Active,intermediate,Southwestern,238
239,130,95,47,Female,Build Muscle,Sedentary,basic,Moroccan,239
240,148,50,39,Male,Build Muscle,HighActive,advanced,French,240
241,163,90,38,Female,Keep Fit,Sedentary,basic,Spanish,241
242,175,60,43,Male,Keep Fit,Active,basic,Mediterranean,242
243,139,85,43,Male,Keep Fit,HighActive,basic,Italian,243
244,145,75,39,Male,Build Muscle,Active,basic,Italian,244
245,178,110,37,Female,Lose Weight,Sedentary,basic,Asian,245
246,124,75,55,Male,Build Muscle,Sedentary,advanced,American,246
247,181,60,25,Female,Build Muscle,HighActive,intermediate,Indian,247
248,136,50,29,Male,Keep Fit,HighActive,advanced,Mexican,248
249,181,95,22,Male,Keep Fit,HighActive,advanced,Moroccan,249
250,166,75,58,Male,Build Muscle,Sedentary,intermediate,Mediterranean,250
251,148,100,39,Male,Build Muscle,HighActive,intermediate,Spanish,251
252,175,40,39,Male,Build Muscle,LowActive,intermediate,Italian,252
253,133,50,58,Male,Lose Weight,Sedentary,intermediate,Mexican,253
254,148,95,46,Female,Lose Weight,LowActive,intermediate,French,254
255,160,95,41,Female,Build Muscle,Sedentary,intermediate,Hungarian,255
256,136,95,40,Male,Lose Weight,Sedentary,advanced,Greek,256
257,148,85,22,Male,Keep Fit,Active,basic,Mediterranean,257
258,124,80,33,Male,Build Muscle,Sedentary,basic,Chinese,258
259,121,90,35,Female,Build Muscle,Active,intermediate,Cajun & Creole,259
260,127,90,20,Female,Keep Fit,LowActive,basic,Cuban,260
261,169,100,32,Male,Build Muscle,Sedentary,basic,Southern & Soul Food,261
262,181,105,45,Male,Lose Weight,Sedentary,basic,Southwestern,262
263,169,105,53,Male,Lose Weight,Sedentary,advanced,German,263
264,136,110,22,Male,Build Muscle,HighActive,advanced,Chinese,264
265,157,100,40,Female,Lose Weight,Active,advanced,Japanese,265
266,121,45,30,Male,Keep Fit,Sedentary,advanced,Thai,266
267,139,55,39,Female,Keep Fit,LowActive,basic,Swedish,267
268,142,45,57,Female,Keep Fit,Sedentary,basic,Italian,268
269,187,70,33,Female,Keep Fit,Active,basic,Moroccan,269
270,127,50,57,Male,Build Muscle,Active,advanced,Italian,270
271,181,50,50,Male,Lose Weight,HighActive,advanced,Spanish,271
272,157,90,37,Female,Build Muscle,LowActive,intermediate,English,272
273,172,45,21,Female,Build Muscle,HighActive,basic,American,273
274,121,65,47,Male,Build Muscle,Active,basic,English,274
275,184,100,39,Male,Keep Fit,LowActive,basic,German,275
276,175,60,41,Female,Build Muscle,Sedentary,intermediate,Southwestern,276
277,139,95,42,Male,Build Muscle,HighActive,basic,Mexican,277
278,130,70,24,Male,Build Muscle,HighActive,intermediate,English,278
279,151,50,48,Female,Keep Fit,LowActive,advanced,Thai,279
280,127,80,24,Male,Build Muscle,Sedentary,intermediate,Moroccan,280
281,178,55,20,Male,Keep Fit,Active,intermediate,Cajun & Creole,281
282,127,100,52,Female,Build Muscle,Active,intermediate,Mediterranean,282
283,181,50,45,Female,Keep Fit,Active,basic,German,283
284,130,105,58,Male,Lose Weight,HighActive,intermediate,Asian,284
285,187,80,36,Male,Keep Fit,Sedentary,basic,Greek,285
286,160,100,52,Female,Lose Weight,LowActive,basic,Mexican,286
287,190,65,47,Male,Lose Weight,HighActive,basic,Italian,287
288,160,40,43,Female,Build Muscle,Active,advanced,Cuban,288
289,184,45,34,Male,Lose Weight,Active,basic,Spanish,289
290,187,105,38,Male,Build Muscle,Sedentary,basic,French,290
291,166,50,59,Female,Keep Fit,Sedentary,intermediate,Greek,291
292,136,110,55,Female,Build Muscle,Sedentary,advanced,Irish,292
293,127,105,49,Female,Build Muscle,Sedentary,intermediate,Italian,293
294,154,70,40,Male,Keep Fit,Sedentary,advanced,Japanese,294
295,139,95,38,Male,Build Muscle,LowActive,basic,French,295
296,178,60,29,Female,Build Muscle,LowActive,advanced,French,296
297,151,65,22,Male,Keep Fit,Active,intermediate,Asian,297
298,187,95,42,Male,Build Muscle,Active,advanced,American,298
299,121,85,57,Male,Keep Fit,LowActive,basic,Swedish,299
300,127,70,33,Female,Keep Fit,HighActive,basic,Irish,300
301,133,65,35,Male,Keep Fit,HighActive,basic,Indian,301
302,157,45,39,Male,Lose Weight,LowActive,basic,Southwestern,302
303,157,90,53,Male,Keep Fit,HighActive,basic,Thai,303
304,178,85,22,Male,Build Muscle,HighActive,intermediate,Cuban,304
305,160,90,51,Female,Lose Weight,Sedentary,basic,Cuban,305
306,163,55,32,Female,Lose Weight,Sedentary,basic,Southwestern,306
307,154,45,55,Female,Build Muscle,HighActive,intermediate,Greek,307
308,121,105,53,Male,Lose Weight,HighActive,basic,Spanish,308
309,163,90,56,Female,Keep Fit,Active,basic,Italian,309
310,127,90,33,Male,Lose Weight,Active,advanced,Southern & Soul Food,310
311,151,80,53,Male,Build Muscle,HighActive,intermediate,Southern & Soul Food,311
312,124,95,27,Female,Keep Fit,Active,intermediate,Southwestern,312
313,175,90,44,Female,Build Muscle,LowActive,intermediate,Asian,313
314,160,105,31,Male,Build Muscle,HighActive,basic,French,314
315,172,70,60,Female,Build Muscle,Sedentary,intermediate,Swedish,315
316,178,80,27,Female,Build Muscle,HighActive,intermediate,Cuban,316
317,127,55,20,Male,Lose Weight,Sedentary,basic,Italian,317
318,136,55,60,Female,Build Muscle,Sedentary,basic,American,318
319,121,90,29,Female,Lose Weight,HighActive,advanced,English,319
320,172,90,23,Female,Build Muscle,LowActive,intermediate,Irish,320
321,142,55,23,Female,Keep Fit,LowActive,intermediate,Thai,321
322,157,95,32,Male,Build Muscle,Active,basic,Indian,322
323,154,80,23,Male,Lose Weight,HighActive,intermediate,German,323
324,187,45,31,Female,Lose Weight,Active,advanced,Chinese,324
325,190,80,44,Female,Lose Weight,LowActive,intermediate,Indian,325
326,154,45,60,Male,Lose Weight,HighActive,basic,Cajun & Creole,326
327,139,110,41,Female,Lose Weight,HighActive,advanced,Greek,327
328,133,45,22,Male,Keep Fit,Sedentary,intermediate,Hungarian,328
329,136,75,32,Male,Build Muscle,HighActive,basic,German,329
330,154,100,54,Male,Lose Weight,LowActive,advanced,Southern & Soul Food,330
331,142,100,46,Female,Keep Fit,Active,advanced,Chinese,331
332,190,110,36,Male,Keep Fit,HighActive,advanced,Japanese,332
333,142,100,23,Female,Keep Fit,LowActive,advanced,Cajun & Creole,333
334,148,65,41,Female,Lose Weight,HighActive,basic,Irish,334
335,127,55,20,Female,Keep Fit,Sedentary,advanced,English,335
336,145,75,42,Male,Keep Fit,Active,intermediate,German,336
337,121,85,33,Female,Lose Weight,HighActive,advanced,English,337
338,181,95,56,Male,Build Muscle,LowActive,advanced,Italian,338
339,172,75,41,Male,Lose Weight,Active,basic,Southwestern,339
340,139,40,31,Male,Lose Weight,Sedentary,advanced,Mediterranean,340
341,124,85,30,Male,Lose Weight,Sedentary,advanced,Greek,341
342,172,75,20,Female,Keep Fit,Sedentary,advanced,Japanese,342
343,172,70,48,Male,Build Muscle,Active,intermediate,Cajun & Creole,343
344,142,110,54,Female,Lose Weight,HighActive,intermediate,French,344
345,142,45,33,Female,Lose Weight,Sedentary,basic,German,345
346,190,95,46,Female,Build Muscle,Sedentary,intermediate,Japanese,346
347,160,75,54,Male,Lose Weight,Sedentary,intermediate,American,347
348,184,60,50,Female,Lose Weight,LowActive,intermediate,Mexican,348
349,166,95,26,Female,Keep Fit,HighActive,advanced,Mediterranean,349
350,160,90,22,Female,Keep Fit,HighActive,advanced,Cuban,350
351,127,110,24,Male,Keep Fit,Sedentary,basic,Southern & Soul Food,351
352,145,90,28,Female,Lose Weight,Sedentary,basic,English,352
353,157,110,54,Male,Keep Fit,HighActive,basic,Southern & Soul Food,353
354,178,105,25,Male,Keep Fit,Sedentary,advanced,Chinese,354
355,157,105,20,Male,Keep Fit,Active,basic,Japanese,355
356,121,80,30,Female,Lose Weight,LowActive,basic,Chinese,356
357,187,45,21,Male,Build Muscle,Active,intermediate,French,357
358,154,40,25,Male,Build Muscle,LowActive,advanced,American,358
359,151,45,49,Male,Lose Weight,LowActive,advanced,Mediterranean,359
360,181,100,34,Male,Keep Fit,Active,advanced,Greek,360
361,166,90,43,Female,Build Muscle,HighActive,advanced,Japanese,361
362,172,75,24,Male,Lose Weight,HighActive,advanced,German,362
363,187,100,54,Female,Keep Fit,Active,basic,Cajun & Creole,363
364,154,110,52,Female,Keep Fit,Active,intermediate,Swedish,364
365,151,85,25,Female,Keep Fit,LowActive,basic,Irish,365
366,181,65,30,Male,Keep Fit,Sedentary,basic,Swedish,366
367,163,85,20,Female,Keep Fit,Sedentary,basic,Indian,367
368,130,60,39,Male,Keep Fit,Active,intermediate,Chinese,368
369,157,40,54,Male,Lose Weight,HighActive,intermediate,Southwestern,369
370,157,70,27,Female,Lose Weight,Active,advanced,Southwestern,370
371,121,90,33,Female,Lose Weight,HighActive,advanced,Swedish,371
372,184,45,23,Male,Build Muscle,Sedentary,advanced,Cajun & Creole,372
373,151,105,21,Female,Build Muscle,LowActive,advanced,Irish,373
374,163,105,49,Female,Build Muscle,Sedentary,intermediate,Japanese,374
375,160,50,55,Female,Keep Fit,LowActive,intermediate,Southern & Soul Food,375
376,136,55,21,Female,Build Muscle,Active,advanced,Southwestern,376
377,142,100,56,Male,Keep Fit,LowActive,advanced,American,377
378,160,70,36,Female,Build Muscle,HighActive,intermediate,Southern & Soul Food,378
379,145,90,37,Male,Lose Weight,Active,advanced,Irish,379
380,154,50,24,Female,Lose Weight,HighActive,advanced,German,380
381,175,75,38,Female,Keep Fit,Active,basic,Mediterranean,381
382,127,45,26,Female,Lose Weight,HighActive,basic,English,382
383,184,45,51,Male,Build Muscle,Sedentary,basic,Southwestern,383
384,169,85,52,Male,Keep Fit,LowActive,advanced,Greek,384
385,172,70,55,Female,Keep Fit,Sedentary,intermediate,Irish,385
386,154,110,21,Female,Keep Fit,HighActive,advanced,Southern & Soul Food,386
387,148,60,41,Female,Lose Weight,LowActive,intermediate,Thai,387
388,157,65,52,Female,Build Muscle,Sedentary,basic,Mediterranean,388
389,184,105,49,Male,Keep Fit,Active,advanced,Spanish,389
390,127,45,36,Female,Build Muscle,HighActive,intermediate,Mediterranean,390
391,142,50,52,Female,Build Muscle,LowActive,intermediate,Spanish,391
392,163,60,50,Male,Build Muscle,Active,intermediate,Southwestern,392
393,124,90,24,Male,Keep Fit,HighActive,intermediate,Japanese,393
394,142,60,57,Male,Lose Weight,HighActive,basic,Mexican,394
395,172,80,28,Female,Build Muscle,HighActive,advanced,English,395
396,157,50,38,Female,Keep Fit,HighActive,advanced,Irish,396
397,172,85,37,Male,Lose Weight,LowActive,intermediate,American,397
398,130,80,41,Male,Build Muscle,Active,basic,Swedish,398
399,169,110,57,Female,Lose Weight,HighActive,basic,Indian,399
400,187,75,52,Male,Lose Weight,Active,intermediate,Indian,400
401,178,60,35,Male,Keep Fit,Sedentary,basic,Swedish,401
402,172,90,43,Female,Lose Weight,Sedentary,intermediate,Chinese,402
403,148,65,40,Female,Keep Fit,HighActive,advanced,Italian,403
404,172,60,40,Female,Build Muscle,Sedentary,advanced,Moroccan,404
405,178,90,52,Male,Lose Weight,HighActive,advanced,Asian,405
406,160,105,36,Female,Build Muscle,LowActive,advanced,Thai,406
407,127,95,59,Male,Keep Fit,Active,advanced,Swedish,407
408,145,40,26,Male,Keep Fit,Sedentary,intermediate,German,408
409,148,70,50,Female,Lose Weight,HighActive,advanced,Irish,409
410,187,45,23,Male,Lose Weight,Active,intermediate,Mexican,410
411,121,50,40,Female,Build Muscle,LowActive,intermediate,Japanese,411
412,136,60,54,Female,Keep Fit,HighActive,intermediate,Italian,412
413,151,50,44,Male,Keep Fit,Active,basic,American,413
